,cust_id,country,invoice_num
0,12346,United Kingdom,2
1,12347,Iceland,182
2,12348,Finland,31
3,12349,Italy,73
4,12350,Norway,17
5,12352,Norway,95
6,12353,Bahrain,4
7,12354,Spain,58
8,12355,Bahrain,13
9,12356,Portugal,59
10,12357,Switzerland,131
11,12358,Austria,19
12,12359,Cyprus,254
13,12360,Austria,129
14,12361,Belgium,10
15,12362,Belgium,274
16,12363,Unspecified,23
17,12364,Belgium,85
18,12365,Cyprus,23
19,12367,Denmark,11
20,12370,Austria,8
21,12370,Cyprus,159
22,12371,Switzerland,63
23,12372,Denmark,52
24,12373,Austria,14
25,12374,Austria,33
26,12375,Finland,18
27,12377,Switzerland,77
28,12378,Switzerland,219
29,12379,Belgium,41
30,12380,Belgium,105
31,12381,Norway,91
32,12383,Belgium,100
33,12384,Switzerland,30
34,12386,Australia,10
35,12388,Australia,100
36,12390,Belgium,32
37,12391,Cyprus,100
38,12393,Australia,64
39,12394,Belgium,21
40,12394,Denmark,6
41,12395,Belgium,159
42,12397,Belgium,126
43,12398,Switzerland,85
44,12399,Belgium,59
45,12401,Belgium,5
46,12402,Belgium,11
47,12403,Denmark,6
48,12405,Finland,54
49,12406,Denmark,108
50,12407,Belgium,77
51,12408,Belgium,113
52,12409,Switzerland,114
53,12410,Switzerland,28
54,12412,Denmark,61
55,12413,France,40
56,12414,Austria,18
57,12415,Australia,778
58,12417,Belgium,175
59,12417,Spain,23
60,12418,Switzerland,34
61,12420,Cyprus,29
62,12421,Spain,46
63,12422,Australia,21
64,12422,Switzerland,18
65,12423,Belgium,126
66,12424,Australia,30
67,12425,Portugal,36
68,12426,Germany,30
69,12427,Germany,35
70,12428,Finland,300
71,12429,Austria,21
72,12429,Denmark,76
73,12430,Norway,11
74,12431,Australia,186
75,12431,Belgium,54
76,12432,Norway,108
77,12433,Norway,420
78,12434,Australia,54
79,12435,Denmark,36
80,12436,Norway,16
81,12437,France,201
82,12438,Norway,98
83,12441,France,11
84,12442,Spain,12
85,12444,Norway,177
86,12445,Spain,4
87,12446,RSA,58
88,12447,Belgium,26
89,12448,Spain,22
90,12449,Belgium,191
91,12450,Spain,8
92,12451,Switzerland,355
93,12452,Switzerland,23
94,12453,Austria,43
95,12454,Spain,30
96,12455,Cyprus,42
97,12455,Spain,48
98,12456,Switzerland,129
99,12457,Cyprus,3
